Generation 8 | Average Generation Fitness: 0.7927333517492343 | Best Fitness: 0.8323394182868374 | Population Length: 200
Generation 9 | Average Generation Fitness: 0.7903077275103485 | Best Fitness: 0.83275790004409 | Population Length: 200
Generation 10 | Average Generation Fitness: 0.7941376555860039 | Best Fitness: 0.8328222379651788 | Population Length: 200
Generation 11 | Average Generation Fitness: 0.7924334476180719 | Best Fitness: 0.8328465329025557 | Population Length: 200
Generation 12 | Average Generation Fitness: 0.7916436880568773 | Best Fitness: 0.8328902336031728 | Population Length: 200
Generation 13 | Average Generation Fitness: 0.7950257517439918 | Best Fitness: 0.8329404181030641 | Population Length: 200
Generation 14 | Average Generation Fitness: 0.7851148248997163 | Best Fitness: 0.8329940199655269 | Population Length: 200
Generation 15 | Average Generation Fitness: 0.7940385982980281 | Best Fitness: 0.8330704199848126 | Population Length: 200
Generation 16 | Average Generation Fitness: 0.788160161231669 | Best Fitness: 0.8331167496224966 | Population Length: 200
Generation 17 | Average Generation Fitness: 0.7964154144325297 | Best Fitness: 0.8331608688387553 | Population Length: 200
Generation 18 | Average Generation Fitness: 0.7919813657243389 | Best Fitness: 0.8331738878115167 | Population Length: 200
Generation 19 | Average Generation Fitness: 0.7909442055303778 | Best Fitness: 0.8331738878115167 | Population Length: 200
Generation 20 | Average Generation Fitness: 0.7887571511791605 | Best Fitness: 0.8331935210158302 | Population Length: 200
Generation 21 | Average Generation Fitness: 0.7943870232990379 | Best Fitness: 0.8332042433844271 | Population Length: 200
Generation 22 | Average Generation Fitness: 0.7998716594546315 | Best Fitness: 0.8332172299475574 | Population Length: 200
Generation 23 | Average Generation Fitness: 0.7977172430357916 | Best Fitness: 0.8332257941860208 | Population Length: 200
Generation 24 | Average Generation Fitness: 0.7926716587335033 | Best Fitness: 0.8332257941860208 | Population Length: 200
Generation 25 | Average Generation Fitness: 0.7912445187136806 | Best Fitness: 0.8332443036634425 | Population Length: 200
Generation 26 | Average Generation Fitness: 0.7899808775961904 | Best Fitness: 0.8332466230588892 | Population Length: 200
Generation 27 | Average Generation Fitness: 0.7941566419583677 | Best Fitness: 0.8332466230588892 | Population Length: 200
Generation 28 | Average Generation Fitness: 0.7929254077079136 | Best Fitness: 0.8332466230588892 | Population Length: 200
Generation 29 | Average Generation Fitness: 0.788460051850691 | Best Fitness: 0.8332545537686512 | Population Length: 200
